Net Status Report
Filename     : C:\Users\Think\Desktop\PCB_配电变压器智能监测系统_2022-01-25.pcbdoc
Date         : 2022-01-25
Time         : 16:57:33
Time Elapsed : 00:00:00

Nets, Layer, Length
    +5V, Signal Layers Only, 0mils
    3V3_AUX, Signal Layers Only, 0mils
    3V3_ETH, Signal Layers Only, 0mils
    3V3_MAIN_LED_1, Signal Layers Only, 0mils
    4G_D+, Signal Layers Only, 0mils
    4G_D-, Signal Layers Only, 0mils
    4G_RST, Signal Layers Only, 0mils
    4G_RXD, Signal Layers Only, 0mils
    4G_TXD, Signal Layers Only, 0mils
    4G_VBUS, Signal Layers Only, 0mils
    AGND, Signal Layers Only, 0mils
    BEEP, Signal Layers Only, 0mils
    BOOT0, Signal Layers Only, 0mils
    BOOT1, Signal Layers Only, 0mils
    BUZZER_2, Signal Layers Only, 0mils
    C30_2, Signal Layers Only, 0mils
    C31_2, Signal Layers Only, 0mils
    C35_2, Signal Layers Only, 0mils
    C36_2, Signal Layers Only, 0mils
    C41_2, Signal Layers Only, 0mils
    C51_2, Signal Layers Only, 0mils
    C53_2, Signal Layers Only, 0mils
    C55_2, Signal Layers Only, 0mils
    CF1_7878, Signal Layers Only, 0mils
    CF2_7878, Signal Layers Only, 0mils
    CF3_7878, Signal Layers Only, 0mils
    CLKIN_7878, Signal Layers Only, 0mils
    D+, Signal Layers Only, 0mils
    D-, Signal Layers Only, 0mils
    ETH_MDC, Signal Layers Only, 0mils
    ETH_MDIO, Signal Layers Only, 0mils
    ETH_RESET, Signal Layers Only, 0mils
    FLASH_CS, Signal Layers Only, 0mils
    FLASH_MISO, Signal Layers Only, 0mils
    FLASH_MOSI, Signal Layers Only, 0mils
    FLASH_SCK, Signal Layers Only, 0mils
    FSMC_A0, Signal Layers Only, 0mils
    FSMC_A1, Signal Layers Only, 0mils
    FSMC_A10, Signal Layers Only, 0mils
    FSMC_A11, Signal Layers Only, 0mils
    FSMC_A12, Signal Layers Only, 0mils
    FSMC_A13, Signal Layers Only, 0mils
    FSMC_A14, Signal Layers Only, 0mils
    FSMC_A15, Signal Layers Only, 0mils
    FSMC_A16, Signal Layers Only, 0mils
    FSMC_A17, Signal Layers Only, 0mils
    FSMC_A18, Signal Layers Only, 0mils
    FSMC_A2, Signal Layers Only, 0mils
    FSMC_A3, Signal Layers Only, 0mils
